Placestoppedstreet,Placestoppedtown,EstimatedAge,Monthyear,GRIDREFERENCE,GRIDREF1,GRIDREF2
,,25,Apr-19,250822; 053874,250822,53874
,,24,Apr-19,250820; 053874,250820,53874
,,23,Apr-19,250818; 053874,250818,53874
,,15,Apr-19,248194; 054733,248194,54733
,,20,May-19,247447; 054638,247447,54638
Mayflower Street,Plymouth,51,May-19,,,
Armada Way,Plymouth,24,May-19,,,
Armada Way,Plymouth,42,May-19,,,
Armada Way,Plymouth,19,May-19,,,
Cecil Street,Plymouth,15,Apr-19,,,
,,28,May-19,247469; 054618,247469,54618
Amarda Centre,Plymouth,29,May-19,,,
Wolsdon Street,Plymouth,38,Mar-19,,,
Cecil Street,Plymouth,39,Apr-19,,,
Mayflower Street,Plymouth,25,Apr-19,,,
Mayflower Road,Plymouth,30,Apr-19,,,
Western Approach,Plymouth,30,Apr-19,,,
Royal parade,Plymouth,30,Apr-19,,,
Commercial Wharf,Plymouth,37,Apr-19,,,
,,32,May-19,247428; 054652,247428,54652
Armada Centre,Plymouth,24,May-19,,,
Armada Centre,Plymouth,45,May-19,,,
Armada Centre,Plymouth,33,May-19,,,
Panier Market,Plymouth,57,May-19,,,
Whard Road,St. Ives,18,Jul-19,,,
,,31,Jul-19,247300; 054563,247300,54563
,,38,Jul-19,248186; 054713,248186,54713
,,25,Aug-19,248241; 054778,248241,54778
,,24,May-19,248167; 054676,248167,54676
,,38,Jul-19,248184; 054707,248184,54707
,,51,Jul-19,248186; 054717,248186,54717
,,20,Jul-19,151707; 040430,151707,40430
,,36,Sep-19,247760; 053681,247760,53681
,,44,May-19,248183; 054719,248183,54719
,,52,Jun-19,248193; 054720,248193,54720
,,26,Jul-19,164367; 040119,164367,40119
,,52,May-19,248157; 054730,248157,54730
,,14,Jul-19,248174; 054745,248174,54745
,,25,Jul-19,248195; 054722,248195,54722
,,14,Sep-19,248256; 054589,248256,54589
,,36,Sep-19,248124; 054767,248124,54767
,,38,May-19,295796; 092165,295796,92165
,,29,May-19,295782; 092197,295782,92197
,,71,May-19,295777; 092309,295777,92309
,,21,May-19,247936; 055101,247936,55101
,,35,Jul-19,286868; 079682,286868,79682
,,16,Aug-19,246218; 054397,246218,54397
UNION STREET,PLYMOUTH,26,Sep-19,,,
,,33,Apr-19,000125; 000325,125,325
PORTLAND Square,Plymouth,45,May-19,,,
,,52,Aug-19,246429; 056505,246429,56505
Clarence PLACE,Plymouth,52,Aug-19,,,
,,23,Sep-19,248168; 054781,248168,54781
Crownhill Village Carpark,Plymouth,32,Sep-19,,,
,,37,Sep-19,248178; 054710,248178,54710
,,58,Apr-19,295764; 092288,295764,92288
,,38,May-19,295724; 092195,295724,92195
,,46,Aug-19,248196; 054788,248196,54788
,,21,Aug-19,247081; 054306,247081,54306
,,16,Aug-19,248237; 054495,248237,54495
,,33,Sep-19,248069; 060145,248069,60145
,,48,Jun-19,000518; 006461,518,6461
High Street,Plymouth,28,Sep-19,,,
,,15,Sep-19,243623; 058230,243623,58230
Coypool Road,Plymouth,29,Aug-19,,,
,,18,Aug-19,280757; 060182,280757,60182
Embankment Road,Plymouth,48,May-19,,,
